note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
5;62;1/8;3/2;4;1;match;1;0;True
6;69;1/8;3/2;4;0;match;0;0;True
7;62;1/16;13/8;5;0;ornamentation;0;0;False
8;64;1/16;27/16;6;0;ornamentation;0;0;False
9;65;1/16;7/4;7;0;ornamentation;0;0;False
10;67;1/16;29/16;8;0;ornamentation;0;0;False
11;69;1/16;15/8;9;0;ornamentation;0;0;False
12;70;1/16;31/16;10;0;ornamentation;0;0;False
13;62;1/4;2;11;1;repetition;1;0;True
14;69;1/4;2;11;0;match;0;0;True
17;62;1/8;5/2;13;1;match;1;1;True
18;69;1/8;5/2;13;0;match;0;1;True
19;67;1/16;21/8;14;0;ornamentation;0;1;False
20;69;1/16;43/16;15;0;ornamentation;0;1;False
21;70;1/16;11/4;16;0;ornamentation;0;1;False
22;69;1/16;45/16;17;0;ornamentation;0;1;False
23;70;1/32;23/8;18;0;ornamentation;0;1;True
22;69;1/16;45/16;17;0;ornamentation;0;2;True
23;70;1/32;23/8;18;0;ornamentation;0;2;False
24;69;1/32;93/32;19;0;ornamentation;0;2;False
25;67;1/32;47/16;20;0;ornamentation;0;2;False
26;69;1/32;95/32;21;0;ornamentation;0;2;False
27;62;1/4;3;22;1;match;1;2;True
28;70;1/4;3;22;0;match;0;2;True
30;62;1/8;7/2;24;1;match;1;3;True
31;69;1/8;7/2;24;0;match;0;3;True
32;60;1/16;29/8;25;1;ornamentation;0;3;False
33;62;1/16;59/16;26;1;ornamentation;0;3;False
34;63;1/16;15/4;27;1;ornamentation;0;3;False
35;62;1/16;61/16;28;1;ornamentation;0;3;False
36;60;1/16;31/8;29;1;ornamentation;0;3;False
37;62;1/16;63/16;30;1;ornamentation;0;3;False
38;63;1/8;4;31;1;match;1;3;True
39;67;1/8;4;31;0;match;0;3;True
38;63;1/8;4;31;1;match;1;4;True
39;67;1/8;4;31;0;match;0;4;True
40;65;1/16;33/8;32;0;ornamentation;0;4;False
41;67;1/16;67/16;33;0;ornamentation;0;4;False
42;69;1/16;17/4;34;0;ornamentation;0;4;False
43;67;1/16;69/16;35;0;ornamentation;0;4;False
44;65;1/16;35/8;36;0;ornamentation;0;4;False
45;64;1/16;71/16;37;0;ornamentation;0;4;False
46;62;1/2;9/2;38;1;match;1;4;True
47;65;1/2;9/2;38;0;match;0;4;True
59;67;1/16;109/16;48;0;ornamentation;0;5;True
60;69;1/32;55/8;49;0;ornamentation;0;5;False
61;67;1/32;221/32;50;0;ornamentation;0;5;False
62;65;1/32;111/16;51;0;ornamentation;0;5;False
63;64;1/32;223/32;52;0;ornamentation;0;5;False
64;62;1/8;7;53;1;match;1;5;True
65;65;1/8;7;53;0;match;0;5;True
64;62;1/8;7;53;1;match;1;6;True
65;65;1/8;7;53;0;match;0;6;True
66;62;1/16;57/8;54;0;ornamentation;0;6;False
67;64;1/16;115/16;55;0;ornamentation;0;6;False
68;65;1/16;29/4;56;0;ornamentation;0;6;False
69;62;1/16;117/16;57;0;ornamentation;0;6;False
70;64;1/32;59/8;58;0;ornamentation;0;6;True
69;62;1/16;117/16;57;0;ornamentation;0;7;True
70;64;1/32;59/8;58;0;ornamentation;0;7;False
71;65;1/32;237/32;59;0;ornamentation;0;7;False
72;67;1/32;119/16;60;0;ornamentation;0;7;False
73;69;1/32;239/32;61;0;ornamentation;0;7;False
74;58;1/8;15/2;62;1;match;1;7;True
75;67;1/8;15/2;62;0;match;0;7;True
74;58;1/8;15/2;62;1;match;1;8;True
75;67;1/8;15/2;62;0;match;0;8;True
76;57;1/16;61/8;63;1;ornamentation;0;8;False
77;58;1/16;123/16;64;1;ornamentation;0;8;False
78;60;1/16;31/4;65;1;ornamentation;0;8;False
79;58;1/16;125/16;66;1;ornamentation;0;8;False
80;60;1/32;63/8;67;1;ornamentation;0;8;True
79;58;1/16;125/16;66;1;ornamentation;0;9;True
80;60;1/32;63/8;67;1;ornamentation;0;9;False
81;58;1/32;253/32;68;1;ornamentation;0;9;False
82;57;1/32;127/16;69;1;ornamentation;0;9;False
83;58;1/32;255/32;70;1;ornamentation;0;9;False
84;60;1/4;8;71;1;match;1;9;True
85;67;1/4;8;71;0;repetition;0;9;True
101;58;1/16;149/16;83;1;ornamentation;0;10;True
102;60;1/32;75/8;84;1;ornamentation;0;10;False
103;58;1/32;301/32;85;1;ornamentation;0;10;False
104;57;1/32;151/16;86;1;ornamentation;0;10;False
105;55;1/32;303/32;87;1;ornamentation;0;10;False
106;57;1/8;19/2;88;1;match;1;10;True
107;67;1/8;19/2;88;0;repetition;0;10;True
106;57;1/8;19/2;88;1;match;1;11;True
107;67;1/8;19/2;88;0;repetition;0;11;True
108;66;1/16;77/8;89;0;ornamentation;0;11;False
109;64;1/16;155/16;90;0;ornamentation;0;11;False
110;66;1/16;39/4;91;0;match;0;11;False
111;67;1/16;157/16;92;0;ornamentation;0;11;False
112;69;1/32;79/8;93;0;ornamentation;0;11;True
111;67;1/16;157/16;92;0;ornamentation;0;12;True
112;69;1/32;79/8;93;0;ornamentation;0;12;False
113;67;1/32;317/32;94;0;ornamentation;0;12;False
114;69;1/32;159/16;95;0;ornamentation;0;12;False
115;66;1/32;319/32;96;0;ornamentation;0;12;False
117;62;3/16;10;97;2;match;2;12;True
116;55;3/16;10;97;1;match;1;12;True
118;67;3/16;10;97;0;match;0;12;True
117;62;3/16;10;97;2;match;2;13;True
116;55;3/16;10;97;1;match;1;13;True
118;67;3/16;10;97;0;match;0;13;True
119;65;1/16;163/16;98;0;ornamentation;0;13;False
120;64;1/16;41/4;99;0;ornamentation;0;13;False
121;65;1/16;165/16;100;0;ornamentation;0;13;False
122;67;1/16;83/8;101;0;ornamentation;0;13;False
123;69;1/16;167/16;102;0;ornamentation;0;13;False
124;55;1/4;21/2;103;3;match;2;13;True
125;62;1/4;21/2;103;2;repetition;1;13;True
126;70;1/4;21/2;103;0;match;0;13;True
138;67;1/16;187/16;109;2;ornamentation;0;14;True
139;65;1/32;47/4;110;2;adaptation;0;14;False
140;64;1/32;377/32;111;0;ornamentation;0;14;False
141;62;1/32;189/16;112;0;ornamentation;0;14;False
142;64;1/32;379/32;113;0;ornamentation;0;14;False
143;65;1/32;95/8;114;0;ornamentation;0;14;False
144;67;1/32;381/32;115;0;ornamentation;0;14;False
145;69;1/32;191/16;116;0;ornamentation;0;14;False
146;70;1/32;383/32;117;0;ornamentation;0;14;False
147;57;3/16;12;118;3;match;3;14;True
148;60;3/16;12;118;2;match;2;14;True
149;64;3/16;12;118;1;match;1;14;True
150;72;3/16;12;118;0;match;0;14;True
147;57;3/16;12;118;3;match;3;15;True
148;60;3/16;12;118;2;match;2;15;True
149;64;3/16;12;118;1;match;1;15;True
150;72;3/16;12;118;0;match;0;15;True
151;70;1/16;195/16;119;0;ornamentation;0;15;False
152;72;1/16;49/4;120;0;ornamentation;0;15;False
153;70;1/16;197/16;121;0;ornamentation;0;15;False
154;69;1/16;99/8;122;0;ornamentation;0;15;False
155;67;1/16;199/16;123;0;ornamentation;0;15;False
156;53;1/8;25/2;124;3;match;3;15;True
157;62;1/8;25/2;124;2;match;2;15;True
158;65;1/8;25/2;124;1;match;1;15;True
