note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
71,70,1/16,109/16,59,0,ornamentation,0,48,False,2
72,72,1/32,55/8,60,0,adaptation,0,48,True,2
71,70,1/16,109/16,59,0,ornamentation,0,49,True,3
72,72,1/32,55/8,60,0,adaptation,0,49,False,3
73,70,1/32,221/32,61,0,ornamentation,0,49,False,3
74,69,1/32,111/16,62,0,ornamentation,0,49,False,3
75,67,1/32,223/32,63,0,ornamentation,0,49,False,3
78,70,1/16,7,64,0,repetition,0,49,True,3
75,67,1/32,223/32,63,0,ornamentation,0,50,True,4
78,70,1/16,7,64,0,repetition,0,50,False,4
81,69,1/16,115/16,67,0,ornamentation,0,50,False,4
84,70,1/4,29/4,68,0,match,0,50,True,4
84,70,1/4,29/4,68,0,match,0,51,True,5
87,70,1/8,61/8,70,0,ornamentation,0,51,False,5
90,69,1/8,31/4,71,0,match,0,51,False,5
92,67,1/8,63/8,72,0,match,0,51,False,5
95,65,1/4,8,73,0,match,0,51,True,5
104,67,1/8,35/4,77,0,match,0,52,True,6
108,69,1/16,9,79,0,match,0,52,False,6
113,64,1/16,149/16,84,0,ornamentation,0,52,False,6
114,65,1/32,75/8,85,0,ornamentation,0,52,True,6
113,64,1/16,149/16,84,0,ornamentation,0,53,True,7
114,65,1/32,75/8,85,0,ornamentation,0,53,False,7
115,67,1/32,301/32,86,0,ornamentation,0,53,False,7
116,69,1/32,151/16,87,0,ornamentation,0,53,False,7
117,70,1/32,303/32,88,0,ornamentation,0,53,False,7
119,70,1/4,19/2,89,0,match,0,53,True,7
119,70,1/4,19/2,89,0,match,0,54,True,8
131,65,1/16,165/16,98,0,ornamentation,0,54,False,8
132,67,1/16,83/8,99,0,ornamentation,0,54,False,8
133,69,1/16,167/16,100,0,ornamentation,0,54,False,8
134,70,1/4,21/2,101,0,match,0,54,True,8
134,70,1/4,21/2,101,0,match,0,55,True,9
157,67,1/16,47/4,116,0,match,0,55,False,9
158,65,1/16,189/16,117,0,ornamentation,0,55,False,9
159,67,1/16,95/8,118,0,ornamentation,0,55,False,9
160,69,1/16,191/16,119,0,ornamentation,0,55,False,9
162,70,1/16,12,120,0,match,0,55,False,9
181,65,1/16,105/8,135,0,ornamentation,0,55,False,9
182,67,1/16,211/16,136,0,ornamentation,0,55,False,9
183,69,1/16,53/4,137,0,adaptation,0,55,False,9
184,67,1/16,213/16,138,0,ornamentation,0,55,False,9
185,65,1/16,107/8,139,0,ornamentation,0,55,False,9
186,67,1/16,215/16,140,0,ornamentation,0,55,False,9
189,69,1/4,27/2,141,0,match,0,55,True,9
201,72,1/4,29/2,145,0,match,0,56,True,10
204,72,1/8,59/4,146,0,repetition,0,56,False,10
205,70,1/8,119/8,147,0,ornamentation,0,56,False,10
208,72,1/8,15,148,0,repetition,0,56,False,10
212,70,1/8,61/4,150,0,match,0,56,False,10
214,69,1/8,123/8,151,0,match,0,56,False,10
217,70,1/4,31/2,152,0,match,0,56,True,10
217,70,1/4,31/2,152,0,match,0,57,True,11
219,69,1/16,63/4,153,0,adaptation,0,57,False,11
220,67,1/16,253/16,154,0,ornamentation,0,57,False,11
221,65,1/16,127/8,155,0,ornamentation,0,57,False,11
222,67,1/16,255/16,156,0,ornamentation,0,57,False,11
224,70,1/16,16,157,0,adaptation,0,57,False,11
225,69,1/16,257/16,158,0,ornamentation,0,57,False,11
226,67,1/16,129/8,159,0,ornamentation,0,57,False,11
227,69,1/16,259/16,160,0,ornamentation,0,57,False,11
230,70,1/4,65/4,161,0,match,0,57,True,11
233,69,3/16,33/2,162,0,match,0,58,True,12
236,64,1/16,269/16,165,0,ornamentation,0,58,False,12
237,62,1/32,135/8,166,0,ornamentation,0,58,True,12
236,64,1/16,269/16,165,0,ornamentation,0,59,True,13
237,62,1/32,135/8,166,0,ornamentation,0,59,False,13
238,64,1/32,541/32,167,0,ornamentation,0,59,False,13
239,66,1/32,271/16,168,0,ornamentation,0,59,False,13
240,67,1/32,543/32,169,0,ornamentation,0,59,False,13
243,67,1/16,17,170,0,repetition,0,59,True,13
240,67,1/32,543/32,169,0,ornamentation,0,60,True,14
243,67,1/16,17,170,0,repetition,0,60,False,14
244,66,1/16,273/16,171,0,ornamentation,0,60,False,14
245,64,1/16,137/8,172,0,ornamentation,0,60,False,14
246,66,1/16,275/16,173,0,ornamentation,0,60,False,14
249,69,1/16,69/4,174,0,adaptation,0,60,False,14
255,67,1/16,281/16,179,0,ornamentation,0,60,False,14
256,66,1/16,141/8,180,0,ornamentation,0,60,False,14
257,64,1/16,283/16,181,0,ornamentation,0,60,False,14
258,67,1/16,71/4,182,0,repetition,0,60,False,14
259,66,1/16,285/16,183,0,ornamentation,0,60,False,14
260,67,1/32,143/8,184,0,ornamentation,0,60,True,14
259,66,1/16,285/16,183,0,ornamentation,0,61,True,15
260,67,1/32,143/8,184,0,ornamentation,0,61,False,15
261,66,1/32,573/32,185,0,ornamentation,0,61,False,15
262,64,1/32,287/16,186,0,ornamentation,0,61,False,15
263,66,1/32,575/32,187,0,ornamentation,0,61,False,15
266,67,1/4,18,188,0,match,0,61,True,15
301,70,1/4,83/4,204,0,match,0,62,True,16
304,69,1/8,21,205,0,match,0,62,False,16
305,67,1/8,169/8,206,0,ornamentation,0,62,False,16
307,65,1/8,85/4,207,0,match,0,62,False,16
311,67,1/8,173/8,210,0,ornamentation,0,62,False,16
313,65,1/8,87/4,211,0,adaptation,0,62,False,16
318,62,1/4,22,213,0,match,0,62,True,16
332,65,1/4,23,221,0,match,0,63,True,17
333,65,1/32,93/4,222,0,repetition,0,63,False,17
334,64,1/32,745/32,223,0,ornamentation,0,63,False,17
335,62,1/32,373/16,224,0,ornamentation,0,63,False,17
336,64,1/32,747/32,225,0,ornamentation,0,63,False,17
337,65,1/32,187/8,226,0,repetition,0,63,False,17
338,67,1/32,749/32,227,0,ornamentation,0,63,False,17
339,69,1/32,375/16,228,0,ornamentation,0,63,False,17
340,70,1/32,751/32,229,0,ornamentation,0,63,False,17
343,69,1/16,47/2,230,0,match,0,63,True,17
