note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
1,58,1/4,1/2,1,3,match,0,0,True
2,58,1/16,3/4,2,3,ornamentation,0,0,False
3,57,1/16,13/16,3,3,ornamentation,0,0,False
4,58,1/16,7/8,4,3,ornamentation,0,0,False
5,60,1/16,15/16,5,3,ornamentation,0,0,False
6,58,1/2,1,6,3,repetition,0,0,True
13,58,1/16,45/16,12,1,ornamentation,0,1,True
14,60,1/32,23/8,13,1,adaptation,0,1,False
15,58,1/32,93/32,14,3,ornamentation,0,1,False
16,57,1/32,47/16,15,3,ornamentation,0,1,False
17,55,1/32,95/32,16,3,ornamentation,0,1,False
18,53,3/16,3,17,3,match,1,1,True
19,65,3/16,3,17,1,match,0,1,True
22,60,1/16,53/16,20,3,ornamentation,0,2,True
23,58,1/32,27/8,21,3,adaptation,0,2,False
24,60,1/32,109/32,22,1,ornamentation,0,2,False
25,62,1/32,55/16,23,1,ornamentation,0,2,False
26,64,1/32,111/32,24,1,ornamentation,0,2,False
27,53,1/4,7/2,25,3,repetition,1,2,True
28,65,1/4,7/2,25,1,match,0,2,True
30,53,1/16,61/16,27,3,ornamentation,0,3,True
31,55,1/32,31/8,28,3,adaptation,0,3,False
32,53,1/32,125/32,29,3,ornamentation,0,3,False
33,51,1/32,63/16,30,3,ornamentation,0,3,False
34,50,1/32,127/32,31,3,ornamentation,0,3,False
35,48,1/16,4,32,3,match,1,3,True
36,65,1/16,4,32,1,repetition,0,3,True
34,50,1/32,127/32,31,3,ornamentation,0,4,True
35,48,1/16,4,32,3,match,1,4,False
36,65,1/16,4,32,1,repetition,0,4,False
37,64,1/16,65/16,33,1,ornamentation,0,4,False
38,62,1/16,33/8,34,1,ornamentation,0,4,False
39,64,1/16,67/16,35,1,ornamentation,0,4,False
40,46,1/4,17/4,36,3,match,1,4,True
41,65,1/4,17/4,36,1,match,0,4,True
40,46,1/4,17/4,36,3,match,1,5,True
41,65,1/4,17/4,36,1,match,0,5,True
42,53,1/8,9/2,37,3,match,0,5,False
43,65,1/8,37/8,38,1,ornamentation,0,5,False
44,64,1/8,19/4,39,1,match,0,5,False
45,62,1/8,39/8,40,1,match,0,5,False
46,53,1/4,5,41,3,repetition,1,5,True
47,60,1/4,5,41,1,match,0,5,True
46,53,1/4,5,41,3,repetition,1,6,True
47,60,1/4,5,41,1,match,0,6,True
48,55,1/16,21/4,42,3,adaptation,0,6,False
49,53,1/16,85/16,43,3,ornamentation,0,6,False
50,51,1/16,43/8,44,3,adaptation,0,6,False
51,50,1/16,87/16,45,3,ornamentation,0,6,False
52,48,3/16,11/2,46,3,match,2,6,True
53,60,3/16,11/2,46,1,repetition,1,6,True
54,67,3/16,11/2,46,0,match,0,6,True
57,62,1/16,93/16,49,0,ornamentation,0,7,True
58,64,1/32,47/8,50,0,ornamentation,0,7,False
59,65,1/32,189/32,51,0,ornamentation,0,7,False
60,67,1/32,95/16,52,0,ornamentation,0,7,False
61,69,1/32,191/32,53,0,ornamentation,0,7,False
62,46,1/4,6,54,3,match,2,7,True
63,58,1/4,6,54,1,adaptation,1,7,True
64,70,1/4,6,54,0,match,0,7,True
71,70,1/16,109/16,59,0,ornamentation,0,8,True
72,72,1/32,55/8,60,0,adaptation,0,8,False
