note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
154,67,1/4,37,81,0,match,0,0,True,0
158,65,1/16,75/2,83,0,match,0,0,False,0
159,64,1/16,601/16,84,0,ornamentation,0,0,False,0
160,65,1/16,301/8,85,0,ornamentation,0,0,False,0
161,67,1/16,603/16,86,0,ornamentation,0,0,False,0
162,69,1/16,151/4,87,0,ornamentation,0,0,False,0
163,65,1/16,605/16,88,0,ornamentation,0,0,False,0
164,67,1/16,303/8,89,0,ornamentation,0,0,False,0
165,69,1/16,607/16,90,0,ornamentation,0,0,False,0
168,70,1/16,38,91,0,repetition,0,0,False,0
169,69,1/16,609/16,92,0,ornamentation,0,0,False,0
170,67,1/16,305/8,93,0,ornamentation,0,0,False,0
171,69,1/16,611/16,94,0,ornamentation,0,0,False,0
173,70,1/16,153/4,95,0,repetition,0,0,False,0
174,67,1/16,613/16,96,0,ornamentation,0,0,False,0
175,69,1/16,307/8,97,0,ornamentation,0,0,False,0
176,70,1/16,615/16,98,0,ornamentation,0,0,False,0
178,69,1/4,77/2,99,0,match,0,0,True,0
254,67,1/4,175/4,134,0,match,0,1,True,1
258,66,1/16,707/16,136,0,ornamentation,0,1,False,1
259,67,1/32,177/4,137,0,repetition,0,1,True,1
258,66,1/16,707/16,136,0,ornamentation,0,2,True,2
259,67,1/32,177/4,137,0,repetition,0,2,False,2
260,66,1/32,1417/32,138,0,ornamentation,0,2,False,2
261,67,1/32,709/16,139,0,ornamentation,0,2,False,2
262,66,1/32,1419/32,140,0,ornamentation,0,2,False,2
263,67,1/32,355/8,141,0,ornamentation,0,2,False,2
264,66,1/32,1421/32,142,0,ornamentation,0,2,False,2
265,64,1/32,711/16,143,0,ornamentation,0,2,False,2
266,66,1/32,1423/32,144,0,ornamentation,0,2,False,2
270,67,1/16,89/2,145,0,match,0,2,True,2
365,62,1/8,107/2,206,0,match,0,3,True,3
394,57,1/16,889/16,227,0,ornamentation,0,3,False,3
395,58,1/16,445/8,228,0,ornamentation,0,3,False,3
396,60,1/16,891/16,229,0,ornamentation,0,3,False,3
397,62,1/16,223/4,230,0,match,0,3,False,3
398,60,1/16,893/16,231,0,ornamentation,0,3,False,3
399,58,1/16,447/8,232,0,ornamentation,0,3,False,3
400,57,1/16,895/16,233,0,ornamentation,0,3,False,3
402,58,1/16,56,234,0,match,0,3,False,3
406,55,1/16,225/4,238,0,match,0,3,False,3
412,62,1/16,113/2,242,0,match,0,3,False,3
413,57,1/16,905/16,243,0,ornamentation,0,3,False,3
414,58,1/16,453/8,244,0,ornamentation,0,3,False,3
415,60,1/16,907/16,245,0,ornamentation,0,3,False,3
417,62,1/16,227/4,246,0,repetition,0,3,False,3
418,60,1/16,909/16,247,0,ornamentation,0,3,False,3
419,62,1/16,455/8,248,0,repetition,0,3,False,3
420,64,1/16,911/16,249,0,ornamentation,0,3,False,3
422,65,1/16,57,250,0,match,0,3,False,3
423,64,1/16,913/16,251,0,ornamentation,0,3,False,3
424,65,1/16,457/8,252,0,repetition,0,3,False,3
425,67,1/16,915/16,253,0,ornamentation,0,3,False,3
426,69,1/16,229/4,254,0,match,0,3,False,3
427,67,1/16,917/16,255,0,ornamentation,0,3,False,3
428,69,1/16,459/8,256,0,ornamentation,0,3,False,3
429,70,1/16,919/16,257,0,ornamentation,0,3,False,3
431,69,1/16,115/2,258,0,repetition,0,3,False,3
432,67,1/16,921/16,259,0,ornamentation,0,3,False,3
433,69,1/16,461/8,260,0,repetition,0,3,False,3
434,70,1/16,923/16,261,0,ornamentation,0,3,False,3
436,67,1/16,231/4,262,0,match,0,3,False,3
441,66,1/32,931/16,267,0,ornamentation,0,3,True,3
436,67,1/16,231/4,262,0,match,0,4,True,4
441,66,1/32,931/16,267,0,ornamentation,0,4,False,4
442,64,1/32,1863/32,268,0,ornamentation,0,4,False,4
443,67,1/16,233/4,269,0,repetition,0,4,True,4
442,64,1/32,1863/32,268,0,ornamentation,0,5,True,5
443,67,1/16,233/4,269,0,repetition,0,5,False,5
444,66,1/16,933/16,270,0,ornamentation,0,5,False,5
445,67,1/32,467/8,271,0,ornamentation,0,5,True,5
444,66,1/16,933/16,270,0,ornamentation,0,6,True,6
445,67,1/32,467/8,271,0,ornamentation,0,6,False,6
446,66,1/32,1869/32,272,0,ornamentation,0,6,False,6
447,64,1/32,935/16,273,0,ornamentation,0,6,False,6
448,66,1/32,1871/32,274,0,ornamentation,0,6,False,6
450,67,1/8,117/2,275,0,match,0,6,True,6
528,64,1/8,543/8,330,0,match,0,7,True,7
530,65,1/16,68,331,0,match,0,7,False,7
531,64,1/16,1089/16,332,0,ornamentation,0,7,False,7
532,62,1/16,545/8,333,0,ornamentation,0,7,False,7
533,64,1/16,1091/16,334,0,ornamentation,0,7,False,7
535,65,1/16,273/4,335,0,repetition,0,7,False,7
536,62,1/16,1093/16,336,0,ornamentation,0,7,False,7
537,64,1/16,547/8,337,0,ornamentation,0,7,False,7
538,65,1/16,1095/16,338,0,ornamentation,0,7,False,7
540,64,3/16,137/2,339,0,match,0,7,True,7
540,64,3/16,137/2,339,0,match,0,8,True,8
541,65,1/32,1099/16,340,0,ornamentation,0,8,False,8
542,67,1/32,2199/32,341,0,ornamentation,0,8,False,8
544,69,1/16,275/4,342,0,match,0,8,True,8
542,67,1/32,2199/32,341,0,ornamentation,0,9,True,9
544,69,1/16,275/4,342,0,match,0,9,False,9
545,70,1/16,1101/16,343,0,ornamentation,0,9,False,9
546,69,1/8,551/8,344,0,ornamentation,0,9,True,9
545,70,1/16,1101/16,343,0,ornamentation,0,10,True,10
546,69,1/8,551/8,344,0,ornamentation,0,10,False,10
548,67,1/16,69,345,0,match,0,10,True,10
546,69,1/8,551/8,344,0,ornamentation,0,11,True,11
548,67,1/16,69,345,0,match,0,11,False,11
549,65,1/16,1105/16,346,0,ornamentation,0,11,False,11
550,64,1/16,553/8,347,0,ornamentation,0,11,False,11
551,62,1/16,1107/16,348,0,ornamentation,0,11,False,11
552,64,1/16,277/4,349,0,match,0,11,False,11
553,62,1/16,1109/16,350,0,ornamentation,0,11,False,11
554,64,1/16,555/8,351,0,ornamentation,0,11,False,11
555,65,1/16,1111/16,352,0,ornamentation,0,11,False,11
557,67,1/16,139/2,353,0,match,0,11,False,11
566,65,1/16,70,361,0,match,0,11,False,11
567,64,1/16,1121/16,362,0,ornamentation,0,11,False,11
568,62,1/16,561/8,363,0,ornamentation,0,11,False,11
569,64,1/16,1123/16,364,0,ornamentation,0,11,False,11
570,65,1/16,281/4,365,0,repetition,0,11,False,11
571,64,1/16,1125/16,366,0,ornamentation,0,11,False,11
572,65,1/16,563/8,367,0,ornamentation,0,11,False,11
573,62,1/16,1127/16,368,0,ornamentation,0,11,False,11
575,65,1/16,141/2,369,0,match,0,11,False,11
576,64,1/16,1129/16,370,0,ornamentation,0,11,False,11
577,62,1/16,565/8,371,0,ornamentation,0,11,False,11
578,64,1/16,1131/16,372,0,ornamentation,0,11,False,11
580,65,1/16,283/4,373,0,repetition,0,11,False,11
581,62,1/16,1133/16,374,0,ornamentation,0,11,False,11
583,64,1/16,567/8,375,0,adaptation,0,11,False,11
584,65,1/16,1135/16,376,0,ornamentation,0,11,False,11
586,64,1/8,71,377,0,match,0,11,True,11
597,67,1/8,72,385,0,repetition,0,12,True,12
598,66,1/16,577/8,386,0,ornamentation,0,12,False,12
599,64,1/16,1155/16,387,0,ornamentation,0,12,False,12
600,67,1/16,289/4,388,0,repetition,0,12,False,12
601,66,1/16,1157/16,389,0,ornamentation,0,12,False,12
602,67,1/32,579/8,390,0,ornamentation,0,12,True,12
601,66,1/16,1157/16,389,0,ornamentation,0,13,True,13
602,67,1/32,579/8,390,0,ornamentation,0,13,False,13
603,66,1/32,2317/32,391,0,ornamentation,0,13,False,13
604,64,1/32,1159/16,392,0,ornamentation,0,13,False,13
605,66,1/32,2319/32,393,0,ornamentation,0,13,False,13
607,67,1/16,145/2,394,0,match,0,13,True,13
605,66,1/32,2319/32,393,0,ornamentation,0,14,True,14
607,67,1/16,145/2,394,0,match,0,14,False,14
608,65,1/16,1161/16,395,0,ornamentation,0,14,False,14
609,67,1/16,581/8,396,0,ornamentation,0,14,False,14
610,69,1/16,1163/16,397,0,ornamentation,0,14,False,14
